bidder_id,y_true,y_prob_mean,n_predictions,y_pred
001068c415025a009fee375a12cff4fcnht8y,0,0.03891941502710723,5,0
0030a2dd87ad2733e0873062e4f83954mkj86,0,0.48912347461739386,5,0
00a0517965f18610417ee784a05f494d4dw6e,0,0.009067203835083188,5,0
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,0,0.0016681156388663667,5,0
01067975436d123f717ee5aba0dd4bbfa0937,0,0.01644556686680997,5,0
012441119bcf83b23d4768bb72cea6d6carua,0,0.008321224789698085,5,0
01255c2c7c5578c186873422fc00fd7afwk8k,0,0.006842420570299565,5,0
01349288df20199905e719f0ff7ee771nwryj,0,0.011525136824942436,5,0
0141844fc725a85e38e12cc02fcdbbe8ofqxv,0,0.002478588650731168,5,0
0181b91f58e6cbaa832235e2879c9c00ovrzi,0,0.001916720635963555,5,0
01a39439e7afbdcfe385eedbddb23d76zgdrg,0,0.0049489297649791255,5,0
01c1c7be49cd6cfbb9075925a05c9899p41va,0,0.004209720737720508,5,0
01c5692d487454cdbe731df330bef608f48zz,0,0.009541824248863606,5,0
01cda526658455000913950f20cf31a2q6nsf,0,0.0038730388124971226,5,0
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,0,0.0034595479694057734,5,0
01f498a0992d280de63ec346692efb2blckg2,0,0.5767643696589824,5,1
02030ec48b7179a7fd9950fdf546e3feekkye,0,0.005868619299936153,5,0
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1,0.9925126826987093,5,1
024937af9ea18a2b57e4f08762d181f7s8a3z,0,0.020994360911972938,5,0
024cf43497fd7381df6254888670f84bwbbam,0,0.01885681396112391,5,0
026819504b59bc4eefb9963d5fe4271aql15u,0,0.0031828307748068526,5,0
02bde521e763e4f4e590e8368149e04a96il9,0,0.003017077244515402,5,0
02cfc97e8fded77671e71e1951723d5fwz6a4,0,0.0008316050435068665,5,0
0318e0a173f7c65db40116b903884c854x258,0,0.04799468754592658,5,0
031da7aea2d4b75ac8ecba4825bc1318yki1d,0,0.003256824344850645,5,0
03244a553a252dcc3a3037f0371c8d33fmpd1,0,0.0017648095461431305,5,0
0353aa9e97bd46119c90b8892f99982esfem3,0,0.014197476958140543,5,0
036a4050a5dd65e70f0f613ec2e38a74re026,0,0.0015353712800639772,5,0
037d9f10da403d8d5f94b6e2957a3702f6x07,0,0.7283577132882921,5,1
0381a69b7a061e9ace2798fd48f1f537mgq57,0,0.01724469679376712,5,0
03a1e81cb7bcd15014489a6f752c9d5b7pvel,0,0.028085370936193815,5,0
03aafab9868455b78f0723eda86698ba9v9rm,0,0.582904817590337,5,1
03e884d3e7e3356608187d2345e4693fyt29x,0,0.0026683264898062346,5,0
041d869edcadf595b90e3b5248903183pn754,1,0.8824382292447597,5,1
042780ee9a3730703e35340c575c3cbb7zjwk,0,0.04539509204087554,5,0
0446457fc8e21596799158406f77b14catx8w,0,0.019498240668848237,5,0
04636b6c61c80f5325efe61183e8edb01ko20,0,0.005996363352862478,5,0
047558bebab9292a5d4c85d6ee768784j2hdd,0,0.015115189118612565,5,0
0496c24a6a7f593f28bf7896350e946advl6i,0,0.002459859798531775,5,0
04c6b750b0552089c87ae03de72289cfcpfmh,0,0.0011421695327766446,5,0
050a3b29ca1818e1f237df8132bc2013bcuxi,0,0.0020577742701618066,5,0
053cefb7e952bd81d7a6db267a121747te7lo,0,0.05360168954766355,5,0
0547dbd3ecb4a293913f138d60b586fdf4ane,0,0.9511430228879411,5,1
