bidder_id,y_true,y_prob_mean,n_predictions,y_pred
001068c415025a009fee375a12cff4fcnht8y,0,0.15923093855381013,5,0
0030a2dd87ad2733e0873062e4f83954mkj86,0,0.3056767463684082,5,0
00a0517965f18610417ee784a05f494d4dw6e,0,0.3529430001974106,5,0
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,0,0.1025306984782219,5,0
01067975436d123f717ee5aba0dd4bbfa0937,0,0.47809770703315735,5,0
012441119bcf83b23d4768bb72cea6d6carua,0,0.30007995273917915,5,0
01255c2c7c5578c186873422fc00fd7afwk8k,0,0.19613145664334297,5,0
01349288df20199905e719f0ff7ee771nwryj,0,0.1978899583220482,5,0
0141844fc725a85e38e12cc02fcdbbe8ofqxv,0,0.35879336670041084,5,0
0181b91f58e6cbaa832235e2879c9c00ovrzi,0,0.165043530985713,5,0
01a39439e7afbdcfe385eedbddb23d76zgdrg,0,0.24229196198284625,5,0
01c1c7be49cd6cfbb9075925a05c9899p41va,0,0.2357143133878708,5,0
01c5692d487454cdbe731df330bef608f48zz,0,0.17234858646988868,5,0
01cda526658455000913950f20cf31a2q6nsf,0,0.8335535049438476,5,1
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,0,0.1824220225214958,5,0
01f498a0992d280de63ec346692efb2blckg2,0,0.2935972809791565,5,0
02030ec48b7179a7fd9950fdf546e3feekkye,0,0.22379087507724763,5,0
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1,0.971936845779419,5,1
024937af9ea18a2b57e4f08762d181f7s8a3z,0,0.27800692319869996,5,0
024cf43497fd7381df6254888670f84bwbbam,0,0.3354975163936615,5,0
026819504b59bc4eefb9963d5fe4271aql15u,0,0.4644003093242645,5,0
02bde521e763e4f4e590e8368149e04a96il9,0,0.4888380944728851,5,0
02cfc97e8fded77671e71e1951723d5fwz6a4,0,0.13150724917650222,5,0
0318e0a173f7c65db40116b903884c854x258,0,0.8129450559616089,5,1
031da7aea2d4b75ac8ecba4825bc1318yki1d,0,0.07670576646924018,5,0
03244a553a252dcc3a3037f0371c8d33fmpd1,0,0.27773218750953677,5,0
0353aa9e97bd46119c90b8892f99982esfem3,0,0.21441811099648475,5,0
036a4050a5dd65e70f0f613ec2e38a74re026,0,0.2121537908911705,5,0
037d9f10da403d8d5f94b6e2957a3702f6x07,0,0.7706128001213074,5,1
0381a69b7a061e9ace2798fd48f1f537mgq57,0,0.2452620565891266,5,0
03a1e81cb7bcd15014489a6f752c9d5b7pvel,0,0.3900807112455368,5,0
03aafab9868455b78f0723eda86698ba9v9rm,0,0.591752576828003,5,1
03e884d3e7e3356608187d2345e4693fyt29x,0,0.2609208133071661,5,0
041d869edcadf595b90e3b5248903183pn754,1,0.8871921062469482,5,1
042780ee9a3730703e35340c575c3cbb7zjwk,0,0.27088028490543364,5,0
0446457fc8e21596799158406f77b14catx8w,0,0.2661700636148453,5,0
04636b6c61c80f5325efe61183e8edb01ko20,0,0.11152720600366592,5,0
047558bebab9292a5d4c85d6ee768784j2hdd,0,0.5795909866690636,5,1
0496c24a6a7f593f28bf7896350e946advl6i,0,0.24883511252701282,5,0
04c6b750b0552089c87ae03de72289cfcpfmh,0,0.2013855569064617,5,0
050a3b29ca1818e1f237df8132bc2013bcuxi,0,0.3803063228726387,5,0
053cefb7e952bd81d7a6db267a121747te7lo,0,0.29393004477024076,5,0
0547dbd3ecb4a293913f138d60b586fdf4ane,0,0.6184664905071259,5,1
054b51d059fe981ca8cc4e0d4c49aabb5mck7,0,0.4585954934358597,5,0
055282b75717345ba6f53d40e9e6d6c56qrzp,0,0.7903824567794799,5,1
055eb52087e0080b8ebca74be4f823f5c819l,0,0.2607749283313751,5,0
0565a780f2c5b46837bbe9739ef15ea92fdu0,0,0.4014789640903473,5,0
0580f2e77b4c0dd3b5cda8a1641cb9fenmo0i,0,0.17404226660728456,5,0
0589cf78c4bece729f0ac620557210e13no3n,0,0.26721331775188445,5,0
058a4e0ac0a20f504cc9c6aae2a896e6too9v,0,0.2559454783797264,5,0
05a07a27e235d01fe480ea6ac73b8838jq28x,0,0.3196427524089813,5,0
05ae7ea9549ae298bbbc8002b4229392e0ilf,0,0.19016236811876297,5,0
05c6b93bf8f083b2d0a03ffc0fc3524ba8fi5,0,0.535068154335022,5,1
05c9fe8f8852ea069a93dfe39fc0571er9mdt,0,0.2585989208891988,5,0
060ac64ff78ae62e9bc697192cebea333760p,1,0.45465321503579614,5,0
061690ceb6004807b7906968bf382dfcbve7y,1,0.6014448523521423,5,1
067ff22ebf0d33fe0deedc816d75973865jo7,0,0.6801418900489807,5,1
068450aafae2a6e390e35925d964290cdliqf,0,0.21269256472587586,5,0
069d020584a0e8c61e622321d4c43881j7pl3,0,0.24131185486912726,5,0
069d251f2fc19102924468ab38349d5eou7ab,0,0.3805033564567566,5,0
06a58d4af0fe7ee15324b0e921e8de1260vef,0,0.7101199388504028,5,1
06b2d71c26ef3b6e29277f761cd0db90wuwjo,0,0.2809882640838623,5,0
06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,0,0.25482456386089325,5,0
06ddad46112881df154e3bda0e90fe880r57n,1,0.8654474020004272,5,1
07012e0507b4281d430b93ddcd96cae66und7,0,0.12330165058374405,5,0
074daf9a99b01591cb0637cb95c32600roriz,0,0.46981205642223356,5,0
078e06b3288cf8f18ab7ed44b245fc56nbyfv,0,0.5104523599147797,5,1
0817731a4d2e319f6f771da3f522b8bfv6njs,0,0.74296954870224,5,1
0825d381aa09d1d0c47c77c372f07acbe02ky,0,0.3916914314031601,5,0
08353687608279ddd83e4d36fadd1cd8ritj3,0,0.3336132287979126,5,0
08515611e73803dc6d8c562b8514dfb5qi3z9,0,0.3418852135539055,5,0
0853bead89b03dd38a04d84f4312da7dukglz,0,0.07158796563744545,5,0
0870fb7e5701f3ba56762b03e157afdc1yw7u,0,0.7492509007453918,5,1
08981037e7a6c9032716ff25b15c9de25p63s,0,0.6383255779743194,5,1
08a588ebf7b98f44f8fc695d02adfa25x0amy,0,0.10457889288663864,5,0
08c39ef7252995e0749f7927249b8dcb1d3xh,0,0.29319424629211427,5,0
090c77ac89c7063f0d0ce064ce3cb3afllf5h,0,0.4756199538707733,5,0
0918eedd8324da06abe5600f058480dc75nfo,0,0.1792627800256014,5,0
098bfc9c440f9ba9e6371f774ec6a36fa0sq6,0,0.32769930809736253,5,0
09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,0,0.27092222571372987,5,0
0a09adcd35b5f26d75f251006affc747drfu4,0,0.2598127692937851,5,0
0a43de0ab0a7525fec59ef4bc1dda7a2z9z69,0,0.3728732064366341,5,0
0a6ba32afe4756995db2f5cf2461cddbvj445,0,0.26917142793536186,5,0
0a7446b63f183a4928ae762ed6cd1c4b894qz,0,0.399572223611176,5,0
0a92c4fa2bcdc8e952546d236b322053o5wbk,0,0.4007965922355652,5,0
0a9c5e1f261c937c09817ea2d5e949f34v8oe,0,0.1883480202406645,5,0
0a9d614009139236f198ddb4759a498cen5ix,0,0.13794710636138915,5,0
0ad17aa9111f657d71cd3005599afc24fd44y,1,0.7226648926734924,5,1
0ae09b09369c76737cba059d192451001nwce,0,0.30968955159187317,5,0
0af208c4fc46ef9236052ff495016326zxoqf,0,0.2286947563290596,5,0
0b3d5f829d18ba30d967fceecb58821c3oeqa,0,0.6950510621070862,5,1
0b450f2827ec670da34be66ec2a520213xcuk,0,0.13781070448458194,5,0
0b68888358a492884e3885bcd73ea63bhxidk,0,0.3498306035995483,5,0
0bf6e0e5184b3599bbb4ba1fb3a43549ije34,0,0.2241925746202469,5,0
0c55920fb607fef2d33324f33565758a6e4dj,0,0.4125709071755409,5,0
0c57d8eaa2708b768416ca91dd8daa2cqbl31,0,0.10856428053230047,5,0
0c5992f18244e24d2d7b4708a512378729eev,0,0.7978025913238526,5,1
0cbd01c9e8cc800aabd3b3e4c618f9caktfgp,0,0.4280039966106415,5,0
0cca10034c58287ee6fbec14a3f96c3546sdh,0,0.08962908834218979,5,0
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,0,0.2379077047109604,5,0
0d0d43ac593a891ce100d8202d3d72c3xsma8,0,0.15285748206079006,5,0
0d1815382b08885d76c671ab600133adeyp5e,0,0.5165692895650864,5,1
0d9f78a6084bf15f42210bfeba95621255c89,0,0.21364647895097733,5,0
0daf4f87eb695e2a84e4156154209e09k6ga5,0,0.2297439306974411,5,0
0e373556d3bf588a1bb2ca6354120cf2dmvjs,0,0.2868779689073563,5,0
0e5ec5baf2e15afdbf5212d8461e1ad9h3kr0,0,0.281148636341095,5,0
0e66933c924764a59760aaae5368e7d1e0s88,0,0.14535604305565358,5,0
0e8212e286ee36da8945c2480e366417xa22x,0,0.22357498705387116,5,0
0ea26a4028ffc16d9a8631d43e1b92105auao,0,0.7167093753814697,5,1
0eeffc5039b27a4dc2e420eca75b1fa55rv5q,0,0.49468004107475283,5,0
0ef9be4eb3b6a03ac2945522964b242ap09cy,0,0.40756052136421206,5,0
0f33df2513a519a35c8b3dcf1d7c7416jjjzk,0,0.8652101159095764,5,1
0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,1,0.281477102637291,5,0
0f4669e36b2e721dfe27f8633b277a1575erw,0,0.42048341035842896,5,0
