fold,auc
0,0.9015208177511842
1,0.9410371478434305
2,0.9112440787833459
3,0.8640052356020943
4,0.9387434554973821
5,0.9272001994515083
6,0.9036399900274246
7,0.8991523310895039
8,0.9469895287958116
9,0.906675392670157
10,0.9007728745948641
11,0.8694839192221391
12,0.9158563949139865
13,0.9727748691099476
14,0.924607329842932
15,0.8595113438045375
16,0.9252056843679881
17,0.8784592370979806
18,0.9421465968586388
19,0.9651832460732983
20,0.8802044377960608
21,0.9343056594365495
22,0.9439042632759911
23,0.9091623036649215
24,0.9408376963350785
