bidder_id,y_true,y_prob_mean,n_predictions,y_pred
001068c415025a009fee375a12cff4fcnht8y,0,0.005547139180998783,5,0
0030a2dd87ad2733e0873062e4f83954mkj86,0,0.0031761360886093824,5,0
00a0517965f18610417ee784a05f494d4dw6e,0,0.254841485619545,5,0
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,0,0.14024775034413323,5,0
01067975436d123f717ee5aba0dd4bbfa0937,0,0.5890977203845977,5,1
012441119bcf83b23d4768bb72cea6d6carua,0,0.09474581573158503,5,0
01255c2c7c5578c186873422fc00fd7afwk8k,0,0.35941960513591764,5,0
01349288df20199905e719f0ff7ee771nwryj,0,0.20107317864894866,5,0
0141844fc725a85e38e12cc02fcdbbe8ofqxv,0,0.22950484305620195,5,0
0181b91f58e6cbaa832235e2879c9c00ovrzi,0,0.01656831232830882,5,0
01a39439e7afbdcfe385eedbddb23d76zgdrg,0,0.34908572137355803,5,0
01c1c7be49cd6cfbb9075925a05c9899p41va,0,0.0006202553656407872,5,0
01c5692d487454cdbe731df330bef608f48zz,0,0.40849223732948303,5,0
01cda526658455000913950f20cf31a2q6nsf,0,0.5350243151187897,5,1
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,0,0.00041121560197185934,5,0
01f498a0992d280de63ec346692efb2blckg2,0,0.15861110070254653,5,0
02030ec48b7179a7fd9950fdf546e3feekkye,0,0.055542391711787785,5,0
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1,0.7070069909095764,5,1
024937af9ea18a2b57e4f08762d181f7s8a3z,0,0.07815531403156228,5,0
024cf43497fd7381df6254888670f84bwbbam,0,0.0011502696243667287,5,0
026819504b59bc4eefb9963d5fe4271aql15u,0,0.1307769947918132,5,0
02bde521e763e4f4e590e8368149e04a96il9,0,0.2594687417149544,5,0
02cfc97e8fded77671e71e1951723d5fwz6a4,0,0.0007171685957578151,5,0
0318e0a173f7c65db40116b903884c854x258,0,0.6985669612884522,5,1
031da7aea2d4b75ac8ecba4825bc1318yki1d,0,0.1712040786165744,5,0
03244a553a252dcc3a3037f0371c8d33fmpd1,0,0.0006770213047275319,5,0
0353aa9e97bd46119c90b8892f99982esfem3,0,0.39471849501132966,5,0
036a4050a5dd65e70f0f613ec2e38a74re026,0,0.09245650510387655,5,0
037d9f10da403d8d5f94b6e2957a3702f6x07,0,0.6381999611854553,5,1
0381a69b7a061e9ace2798fd48f1f537mgq57,0,0.002960940601769835,5,0
03a1e81cb7bcd15014489a6f752c9d5b7pvel,0,0.3488561436533928,5,0
03aafab9868455b78f0723eda86698ba9v9rm,0,0.5632691800594329,5,1
03e884d3e7e3356608187d2345e4693fyt29x,0,0.11478380499174819,5,0
041d869edcadf595b90e3b5248903183pn754,1,0.7622448801994324,5,1
042780ee9a3730703e35340c575c3cbb7zjwk,0,0.1619979701936245,5,0
0446457fc8e21596799158406f77b14catx8w,0,0.10071049252837838,5,0
04636b6c61c80f5325efe61183e8edb01ko20,0,0.12797671043663286,5,0
047558bebab9292a5d4c85d6ee768784j2hdd,0,0.6848048329353332,5,1
0496c24a6a7f593f28bf7896350e946advl6i,0,0.10103398226201535,5,0
04c6b750b0552089c87ae03de72289cfcpfmh,0,0.05966013614088297,5,0
050a3b29ca1818e1f237df8132bc2013bcuxi,0,0.46965272426605226,5,0
053cefb7e952bd81d7a6db267a121747te7lo,0,0.09059559651759627,5,0
0547dbd3ecb4a293913f138d60b586fdf4ane,0,0.8279504179954529,5,1
054b51d059fe981ca8cc4e0d4c49aabb5mck7,0,0.6655458807945251,5,1
055282b75717345ba6f53d40e9e6d6c56qrzp,0,0.6315926909446716,5,1
055eb52087e0080b8ebca74be4f823f5c819l,0,0.061067416937962714,5,0
0565a780f2c5b46837bbe9739ef15ea92fdu0,0,0.6208439469337463,5,1
0580f2e77b4c0dd3b5cda8a1641cb9fenmo0i,0,0.26714868322014806,5,0
0589cf78c4bece729f0ac620557210e13no3n,0,0.005325060804352688,5,0
058a4e0ac0a20f504cc9c6aae2a896e6too9v,0,0.0010936314451162944,5,0
05a07a27e235d01fe480ea6ac73b8838jq28x,0,0.2980144128203392,5,0
05ae7ea9549ae298bbbc8002b4229392e0ilf,0,0.09839737408001384,5,0
05c6b93bf8f083b2d0a03ffc0fc3524ba8fi5,0,0.20414454359561204,5,0
05c9fe8f8852ea069a93dfe39fc0571er9mdt,0,0.23263855278491974,5,0
060ac64ff78ae62e9bc697192cebea333760p,1,0.03641662769950926,5,0
061690ceb6004807b7906968bf382dfcbve7y,1,0.28568084090948104,5,0
067ff22ebf0d33fe0deedc816d75973865jo7,0,0.43018693625926974,5,0
068450aafae2a6e390e35925d964290cdliqf,0,0.08412978759569043,5,0
069d020584a0e8c61e622321d4c43881j7pl3,0,0.10839415513910353,5,0
069d251f2fc19102924468ab38349d5eou7ab,0,0.15198855177732185,5,0
06a58d4af0fe7ee15324b0e921e8de1260vef,0,0.705228042602539,5,1
06b2d71c26ef3b6e29277f761cd0db90wuwjo,0,0.005114510606745171,5,0
06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,0,0.00041330432570667596,5,0
06ddad46112881df154e3bda0e90fe880r57n,1,0.42341068177483976,5,0
07012e0507b4281d430b93ddcd96cae66und7,0,0.22810476869344712,5,0
